Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Promoter holding,Industry PE,EPS,Debt to equity,Return on equity,Return on assets,Return on capital employed,OPM,Profit after tax,Price to Earning,Dividend yield,Sales growth,Profit growth,Price to Free Cash Flow,PEG Ratio,Current ratio,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Average return on equity 5Years,Average return on equity 3Years,Return over 1year,Return over 3years,Return over 5years,Operating profit,Net profit,Sales preceding year,Operating profit preceding year,Operating profit growth,Debt 3Years back,Debt 5Years back,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Net cash flow last year,FII holding,DII holding,Return on capital employed preceding year,Return on equity preceding year,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales,EVEBITDA,Quick ratio,Quick ratio.1,EPS growth 5Years,EPS growth 3Years,Dividend Payout Ratio,RSI,DMA 50,Sector
360 ONE,542772.0,360ONE,Finance & Investments,986.05,38774.83,14.2,20.15,25.83,1.58,20.57,6.2,14.91,60.78,1081.36,35.86,0.61,12.81,34.47,-26.28,0.9,1.62,16.73,16.72,23.23,39.89,20.01,21.9,25.76,31.84,32.85,2002.7,1015.3,2920.91,1704.85,17.47,5807.58,8838.1,-4424.64,-3074.78,-4203.49,-2812.03,295.01,67.22,8.48,14.47,24.47,14.24,13.05,3295.09,20.42,1.62,1.62,36.59,19.1,23.23,54.44,966.03,Financial services
3M India,523395.0,3MINDIA,Diversified - Large,30110.0,33949.86,75.0,13.03,492.91,0.01,24.81,16.97,33.04,17.34,555.27,61.14,0.53,5.49,6.52,86.23,5.74,2.19,17.5,6.93,53.48,10.65,14.6,18.07,-1.18,14.68,9.19,733.4,555.27,3733.44,559.79,3.51,22.88,13.5,1183.71,1656.21,1341.7,1872.08,227.06,3.78,8.08,25.29,18.75,24.51,19.82,4228.51,40.96,1.52,1.52,10.65,53.48,143.96,58.76,28974.05,Diversified
A B B,500002.0,ABB,Electric Equipment,5522.5,117005.44,75.0,50.27,88.33,0.01,28.82,16.04,38.65,18.96,1876.15,62.36,0.8,16.67,50.42,121.87,1.55,2.04,20.68,10.75,63.11,40.25,18.86,23.64,-15.57,38.11,43.72,2311.28,1871.64,10446.52,1496.75,54.42,36.66,13.54,2880.54,3599.42,3425.22,4393.63,58.75,10.27,7.01,30.61,22.92,30.76,23.11,12188.31,41.86,1.7,1.7,40.25,63.11,50.0,53.43,5527.0,"Capital Goods, Energy"
A B Real Estate,500040.0,ABREL,Paper,1917.7,21443.64,50.21,11.81,-2.36,1.17,1.29,0.64,8.31,9.4,18.24,1175.9,0.26,29.14,-91.22,-167.45,-19.09,1.59,19.93,2.74,54.05,-61.59,3.99,3.48,-3.98,31.89,45.7,462.37,-1.56,3831.82,566.88,-11.54,1048.51,1020.15,-383.78,-128.16,-95.5,448.08,432.7,9.28,15.86,7.67,4.82,7.04,5.9,4919.38,50.59,0.27,0.27,-61.59,54.05,110.52,49.82,1966.71,Fast Moving Consumer Goods
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,467.05,20171.09,75.61,19.56,20.65,2.49,18.41,4.2,11.36,76.22,868.75,23.22,0.0,21.07,22.81,-13.35,0.68,3.81,17.98,15.37,30.11,34.28,15.76,16.89,,,,2261.38,868.75,2043.23,1536.21,21.37,10374.47,8194.97,-4528.34,-8101.77,-4491.28,-8056.23,-48.88,5.32,8.58,10.24,16.48,10.5,10.24,2966.81,14.57,3.81,3.81,-22.58,30.11,0.0,55.92,438.15,Financial services
Aarti Industries,524208.0,AARTIIND,Chemicals,421.25,15278.25,42.24,27.93,10.12,0.71,8.22,4.61,7.47,14.32,365.0,41.86,0.24,13.43,-15.9,-60.79,-13.64,0.89,12.25,8.86,-7.08,-3.07,16.11,15.54,-43.21,-19.46,-3.39,1016.0,367.0,6618.58,1088.97,7.51,2856.96,2401.08,-753.62,-1218.74,3041.27,5016.04,-71.01,6.29,19.96,10.44,11.55,13.26,13.64,7096.0,18.25,0.41,0.41,-3.92,-8.3,8.7,54.94,410.26,"Chemicals, Diversified"
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1942.9,15375.68,26.47,19.56,72.53,3.19,14.12,3.27,10.1,75.29,574.11,26.78,0.0,16.7,17.06,-8.15,1.47,9.1,21.76,21.15,17.18,18.17,13.83,14.06,19.63,-5.31,10.34,1772.6,574.11,2017.5,1482.67,19.55,8011.98,5382.17,-5664.44,-7894.27,-5566.54,-7773.15,-9.25,29.67,10.75,9.91,13.93,9.84,9.8,2354.51,15.61,9.1,9.1,17.92,17.07,0.0,44.26,1934.64,Financial services
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,29985.0,63730.09,74.99,47.76,628.0,0.02,34.88,24.64,46.02,25.56,1334.46,47.76,1.37,8.51,16.49,65.13,2.17,2.25,10.71,9.72,20.24,22.01,30.47,32.2,13.38,20.64,11.08,1595.59,1334.46,5348.73,1205.89,13.67,152.58,0.0,2928.26,4242.38,3053.86,4406.73,52.07,0.16,8.91,41.13,31.61,41.84,39.19,6243.19,33.41,1.71,1.71,22.01,20.24,72.53,48.78,29857.36,Healthcare
ACC,500410.0,ACC,Cement - North India,1888.0,35441.13,56.69,46.03,127.92,0.02,13.33,9.53,17.58,14.07,2325.5,15.24,0.4,9.04,7.86,-58.72,1.35,1.61,10.45,6.81,6.9,11.33,12.22,11.55,-25.43,-6.76,9.87,3061.36,2402.27,19958.92,3061.66,-0.01,125.58,0.0,-1811.54,1341.95,3471.51,8526.19,-568.09,4.83,24.92,17.27,14.15,14.74,15.85,21762.31,8.27,1.27,1.27,11.33,6.9,5.87,37.72,1967.03,Construction Materials
ACME Solar Hold.,544283.0,ACMESOLAR,Engineering - Turnkey Services,209.21,12647.73,83.41,28.88,66.85,5.46,5.48,0.97,8.41,82.56,122.97,102.85,0.1,1.88,434.71,-27.75,,1.67,-7.96,,51.5,,,-2.11,,,,1089.22,698.23,1294.9,1172.67,-7.12,9732.04,,-1368.74,,3647.24,,-238.59,4.74,7.09,7.23,-1.93,7.59,7.59,1319.25,17.6,1.67,1.67,,51.5,0.0,53.31,205.83,"Metals & Mining, Realty"
